,subbin_idx,n_pi_pulse/hmm_no_exp/dark_bkd/,n_estimator/hmm_no_exp/dark_bkd/,n_pi_pulse/entropy_gain/dark_bkd/,n_estimator/entropy_gain/dark_bkd/,n_pi_pulse/minbins/dark_bkd/,n_estimator/minbins/dark_bkd/,n_pi_pulse/hmm_no_exp/dark/,n_estimator/hmm_no_exp/dark/,n_pi_pulse/entropy_gain/dark/,n_estimator/entropy_gain/dark/,n_pi_pulse/minbins/dark/,n_estimator/minbins/dark/,n_pi_pulse/hmm_no_exp/bright_bkd/,n_estimator/hmm_no_exp/bright_bkd/,n_pi_pulse/entropy_gain/bright_bkd/,n_estimator/entropy_gain/bright_bkd/,n_pi_pulse/minbins/bright_bkd/,n_estimator/minbins/bright_bkd/,n_pi_pulse/hmm_no_exp/bright/,n_estimator/hmm_no_exp/bright/,n_pi_pulse/entropy_gain/bright/,n_estimator/entropy_gain/bright/,n_pi_pulse/minbins/bright/,n_estimator/minbins/bright/
0,1,975290.0,1000000.0,975380.0,1000000.0,975350.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,279090.0,1000000.0,507770.0,1000000.0,280910.0,1000000.0,284780.0,1000000.0,286780.0,1000000.0,285820.0,1000000.0
1,2,0.0,1000000.0,222350.0,999990.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0,1000000.0,0.0,860080.0,132170.0,865100.0,0.0,863090.0,0.0,284780.0,0.0,286780.0,0.0,285820.0
2,3,75390.0,866330.0,264060.0,865080.0,75000.0,866170.0,81820.0,286210.0,82120.0,286120.0,81550.0,283620.0,264770.0,565770.0,330110.0,733980.0,267540.0,568930.0,284780.0,284780.0,286780.0,286780.0,285820.0,285820.0
3,4,22610.0,540930.0,97880.0,704160.0,22470.0,543230.0,0.0,81820.0,0.0,82120.0,0.0,81550.0,7350.0,483760.0,80220.0,718820.0,7140.0,484970.0,0.0,284780.0,0.0,286780.0,0.0,285820.0
4,5,77710.0,293280.0,118950.0,422650.0,77720.0,293570.0,81820.0,81820.0,82120.0,82120.0,81550.0,81550.0,27930.0,345960.0,84980.0,442550.0,27910.0,346510.0,23850.0,81500.0,23050.0,81960.0,23170.0,81940.0
5,6,10250.0,231600.0,36950.0,410190.0,10450.0,233090.0,0.0,81820.0,0.0,82120.0,0.0,81550.0,14700.0,199610.0,40640.0,391760.0,14180.0,201770.0,0.0,23850.0,0.0,23050.0,0.0,23170.0
6,7,13510.0,146700.0,33230.0,208110.0,12970.0,147610.0,6850.0,24160.0,6800.0,23290.0,6770.0,22980.0,25810.0,119930.0,40000.0,189660.0,25850.0,118280.0,23850.0,23850.0,23050.0,23050.0,23170.0,23170.0
7,8,6530.0,83590.0,16240.0,176720.0,6500.0,83430.0,0.0,6850.0,0.0,6800.0,0.0,6770.0,5680.0,86740.0,15160.0,173300.0,5670.0,85390.0,0.0,23850.0,0.0,23050.0,0.0,23170.0
8,9,9050.0,53090.0,13840.0,85120.0,8860.0,51660.0,6850.0,6850.0,6800.0,6800.0,6770.0,6770.0,5880.0,53280.0,11860.0,77410.0,5750.0,52770.0,1720.0,6620.0,1870.0,6520.0,1800.0,6680.0
9,10,4100.0,35290.0,7420.0,69650.0,4300.0,33940.0,0.0,6850.0,0.0,6800.0,0.0,6770.0,4630.0,32630.0,7530.0,61000.0,4520.0,32240.0,0.0,1720.0,0.0,1870.0,0.0,1800.0
10,11,3160.0,21240.0,5430.0,30280.0,3430.0,20090.0,650.0,2220.0,580.0,2000.0,580.0,1920.0,2140.0,20610.0,4280.0,30740.0,2110.0,19940.0,1720.0,1720.0,1870.0,1870.0,1800.0,1800.0
11,12,1750.0,13000.0,3130.0,21750.0,1710.0,12380.0,0.0,650.0,0.0,580.0,0.0,580.0,1570.0,13190.0,2370.0,23480.0,1710.0,12560.0,0.0,1720.0,0.0,1870.0,0.0,1800.0
12,13,1140.0,8220.0,2000.0,11540.0,1110.0,7630.0,650.0,650.0,580.0,580.0,580.0,580.0,860.0,7770.0,1540.0,10290.0,890.0,7520.0,100.0,330.0,170.0,510.0,230.0,550.0
13,14,740.0,5330.0,1150.0,8330.0,490.0,4740.0,0.0,650.0,0.0,580.0,0.0,580.0,560.0,4930.0,930.0,7290.0,500.0,4530.0,0.0,100.0,0.0,170.0,0.0,230.0
14,15,540.0,3320.0,840.0,4190.0,330.0,2680.0,60.0,180.0,50.0,160.0,50.0,180.0,420.0,2850.0,540.0,3900.0,240.0,2660.0,100.0,100.0,170.0,170.0,230.0,230.0
15,16,330.0,2290.0,400.0,2890.0,200.0,1730.0,0.0,60.0,0.0,50.0,0.0,50.0,190.0,1670.0,300.0,2620.0,210.0,1730.0,0.0,100.0,0.0,170.0,0.0,230.0
16,17,230.0,1410.0,300.0,1590.0,150.0,910.0,60.0,60.0,50.0,50.0,50.0,50.0,140.0,1070.0,200.0,1370.0,140.0,990.0,10.0,30.0,10.0,30.0,20.0,100.0
17,18,100.0,940.0,170.0,1130.0,40.0,620.0,0.0,60.0,0.0,50.0,0.0,50.0,100.0,740.0,90.0,940.0,70.0,640.0,0.0,10.0,0.0,10.0,0.0,20.0
18,19,50.0,580.0,100.0,610.0,30.0,350.0,0.0,40.0,10.0,20.0,10.0,30.0,50.0,480.0,50.0,510.0,30.0,350.0,10.0,10.0,10.0,10.0,20.0,20.0
19,20,50.0,370.0,70.0,430.0,20.0,200.0,0.0,0.0,0.0,10.0,0.0,10.0,20.0,290.0,10.0,320.0,30.0,240.0,0.0,10.0,0.0,10.0,0.0,20.0
